id,voter,author,permlink,weight,value,timestamp
NULL,seapilot,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,threec,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,effofex,bukdb,ka6447,59,0,2019-02-03 11:15:39
NULL,krist777,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,scotters,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,lorey-bero,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,5000,0,2019-02-03 11:15:39
NULL,chibikko,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,10000,0,2019-02-03 11:15:39
NULL,lauratommy,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,zemr3a,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,hdu,zyyy,wherein-1549192307394,200,0,2019-02-03 11:15:39
NULL,abean,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,kemal13,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,500,0,2019-02-03 11:15:39
NULL,bitcoinandcoffee,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,superdavey,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,kabiya,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,chaari-nour,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,rubelabbasy,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,matthewmunseyart,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,helal-ahmed,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,usa1,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,madanishereef,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,cloudlynx,steemchiller,steemworld-weekly-support-21,10000,0,2019-02-03 11:15:39
NULL,xuhi,road2horizon,waiting-for-guess-again-2-week-2-aspettando-indovina-ancora-2-settimana-2,5000,0,2019-02-03 11:15:39
NULL,fueprojacan1988,rorxco,grain-is-good---35mm-2019-1-0-10-18-31,4900,0,2019-02-03 11:15:39
NULL,ryma-mkaouer,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,steemersayu907,behelen,igtxfni3,750,0,2019-02-03 11:15:39
NULL,thewindowflower,megafart,re-jaki01-germany-is-getting-so-dirty-deutschland-wird-immer-vermuellter-20190128t215613187z,3850,0,2019-02-03 11:15:39
NULL,ugbolily,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,sigizzang,coldsiksu,6ay36t,10000,0,2019-02-03 11:15:39
NULL,hafizullah,behelen,igtxfni3,1000,0,2019-02-03 11:15:39
NULL,malik-miah,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,mehjabin1992,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,nada-nadou,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,alexnes,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,nieloagranca,dayleeo,re-mawahab-vr-dynamic-simulators-make-all-extreme-simulators-with-the-best-motion-and-effects-20190203t110132573z,240,0,2019-02-03 11:15:39
NULL,ezravandi,tamaralovelace,small-town-life,100,0,2019-02-03 11:15:39
NULL,alex-ahmed,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,nagaclub,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,joan11,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,merlin7,cryptopuzzles,bitcoinhaus-v-4-inventory-update-2-3-2019,1,0,2019-02-03 11:15:39
NULL,olfa,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,noawn,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,jnr.charlie,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,albatar,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,2000,0,2019-02-03 11:15:39
NULL,connie1018,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,greendeliver-sm,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,josueelinfame,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,sisu,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,techwizardry,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,4500,0,2019-02-03 11:15:39
NULL,gideongys,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,nicholaspang,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,900,0,2019-02-03 11:15:39
